[2018-12-12 10:02:08.709] INFO [https-jsse-nio-8443-exec-4] CallBackController.java:118 - 接收updateDeviceData:{notifyType=deviceDataChanged, deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, gatewayId=32f53caa-7985-4a0c-b074-3cd242179d53, requestId=null, service={serviceId=CheckService, serviceType=CheckService, data={version=1.001.0218112103110000}, eventTime=20181212T020209Z}}
[2018-12-12 10:02:08.748] INFO [https-jsse-nio-8443-exec-4] CheckService.java:58 - 上传check:设备id：32f53caa-7985-4a0c-b074-3cd242179d53 ,内容：{serviceType=CheckService, data={version=1.001.0218112103110000}, eventTime=20181212T020209Z, serviceId=CheckService}
[2018-12-12 10:04:03.195] INFO [https-jsse-nio-8443-exec-9] CallBackController.java:118 - 接收updateDeviceData:{notifyType=deviceDataChanged, deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, gatewayId=32f53caa-7985-4a0c-b074-3cd242179d53, requestId=null, service={serviceId=CheckService, serviceType=CheckService, data={version=1.001.0218112103110000}, eventTime=20181212T020209Z}}
[2018-12-12 10:04:03.197] INFO [https-jsse-nio-8443-exec-9] CheckService.java:58 - 上传check:设备id：32f53caa-7985-4a0c-b074-3cd242179d53 ,内容：{serviceType=CheckService, data={version=1.001.0218112103110000}, eventTime=20181212T020209Z, serviceId=CheckService}
[2018-12-12 10:04:27.813] INFO [https-jsse-nio-8443-exec-6] CallBackController.java:118 - 接收updateDeviceData:{notifyType=deviceDataChanged, deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, gatewayId=32f53caa-7985-4a0c-b074-3cd242179d53, requestId=null, service={serviceId=PhotoService, serviceType=PhotoService, data={packdate=538448402, packtime=1049634, totalpack=8, packnum=1, rawdata=/9j/4AAQSkZJRgABAQEAAAAAAAD/2wBDAAwICQsJCAwLCgsODQwOEh4UEhEREiUaHBYeLCYuLSsmKikwNkU7MDNBNCkqPFI9QUdKTU5NLzpVW1RLWkVMTUr/2wBDAQ0ODhIQEiMUFCNKMioySkpKSkpKSkpKSkpKSkpKSkpKSkpKSkpKSkpKSkpKSkpKSkpKSkpKSkpKSkpKSkpKSkr/xAAfAAABBQEBAQEBAQAAAAAAAAAAAQIDBAUGBwgJCgv/xAC1EAACAQMDAgQDBQUEBAAAAX0BAgMABBEFEiExQQYTUWEHInEUMoGRoQgjQrHBFVLR8CQzYnKCCQoWFxgZGg==}, eventTime=20181212T020428Z}}
[2018-12-12 10:04:27.818] INFO [https-jsse-nio-8443-exec-6] PhotoService.java:78 -  packnum : 1  totalpack : 8 deviceId :/32f53caa-7985-4a0c-b074-3cd242179d53  time : 20181212100422
[2018-12-12 10:04:33.498] INFO [https-jsse-nio-8443-exec-3] CallBackController.java:118 - 接收updateDeviceData:{notifyType=deviceDataChanged, deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, gatewayId=32f53caa-7985-4a0c-b074-3cd242179d53, requestId=null, service={serviceId=PhotoService, serviceType=PhotoService, data={packdate=538448402, packtime=1049634, totalpack=8, packnum=2, rawdata=JSYnKCkqNDU2Nzg5OkNERUZHSElKU1RVVldYWVpjZGVmZ2hpanN0dXZ3eHl6g4SFhoeIiYqSk5SVlpeYmZqio6Slpqeoqaqys7S1tre4ubrCw8TFxsfIycrS09TV1tfY2drh4uPk5ebn6Onq8fLz9PX29/j5+v/EAB8BAAMBAQEBAQEBAQEAAAAAAAABAgMEBQYHCAkKC//EALURAAIBAgQEAwQHBQQEAAECdwABAgMRBAUhMQYSQVEHYXETIjKBCBRCkaGxwQkjM1LwFWJy0QoWJDThJfEXGBkaJicoKSo1Njc4OTpDREVGR0hJSlNUVVZXWFlaY2RlZmdoaWpzdA==}, eventTime=20181212T020434Z}}
[2018-12-12 10:04:33.500] INFO [https-jsse-nio-8443-exec-3] PhotoService.java:78 -  packnum : 2  totalpack : 8 deviceId :/32f53caa-7985-4a0c-b074-3cd242179d53  time : 20181212100422
[2018-12-12 10:04:38.071] INFO [https-jsse-nio-8443-exec-10] CallBackController.java:118 - 接收updateDeviceData:{notifyType=deviceDataChanged, deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, gatewayId=32f53caa-7985-4a0c-b074-3cd242179d53, requestId=null, service={serviceId=PhotoService, serviceType=PhotoService, data={packdate=538448402, packtime=1049634, totalpack=8, packnum=3, rawdata=dXZ3eHl6goOEhYaHiImKkpOUlZaXmJmaoqOkpaanqKmqsrO0tba3uLm6wsPExcbHyMnK0tPU1dbX2Nna4uPk5ebn6Onq8vP09fb3+Pn6/8AAEQgAQALQAwEhAAIRAQMRAf/aAAwDAQACEQMRAD8A9UopAFFMAooAKKACigAooAKKACigAooAKKACigAooAKKACigAooAKKACigAooAKKACigAooAKKACigAooAKKACigAooAKKACigAooAKKACigAooAKKACigAooAKKykAUVgwCioNUIVzUbAigoZ5uOtMaXdTEPiXvUtAxKQ8UCIBIPN5q5W1Lcxe4UV0AFFSAUQ==}, eventTime=20181212T020438Z}}
[2018-12-12 10:04:38.073] INFO [https-jsse-nio-8443-exec-10] PhotoService.java:78 -  packnum : 3  totalpack : 8 deviceId :/32f53caa-7985-4a0c-b074-3cd242179d53  time : 20181212100422
[2018-12-12 10:04:57.630] INFO [https-jsse-nio-8443-exec-4] CallBackController.java:118 - 接收updateDeviceData:{notifyType=deviceDataChanged, deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, gatewayId=32f53caa-7985-4a0c-b074-3cd242179d53, requestId=null, service={serviceId=PhotoService, serviceType=PhotoService, data={packdate=538448402, packtime=1049634, totalpack=8, packnum=4, rawdata=QAUVQBRQAUUAFFABRQAUUAFFABRQAUUAFFABRQAUUAFFABRQAUUAFFABRQAUUAFFABRQAUUAFFABRQAUUAFFABRQAUUAFFABRQAUUAFFABRQAUUAFFIAorKQBRWDGgoqTVBRQMrTYqNYj1piH7itOEtAD9wqJ9z8LTJZJBD5Y561NW8YmQUVor9RhRVAFFABRQAUUAFFABRQAUUAFFABRQAUUAFFABRQAUUAFFABRQAUUAFFABRQAUUAFFABRQAUUAFFABRQAUUAFFABRQAUUAFFABRQAUUAFFABRQAUUAFFABRUsAorCQBRWRSCikahTJGxQBEi7jzU2KBDSAaiaA==}, eventTime=20181212T020458Z}}
[2018-12-12 10:04:57.631] INFO [https-jsse-nio-8443-exec-4] PhotoService.java:78 -  packnum : 4  totalpack : 8 deviceId :/32f53caa-7985-4a0c-b074-3cd242179d53  time : 20181212100422
[2018-12-12 10:05:00.569] INFO [https-jsse-nio-8443-exec-9] CallBackController.java:118 - 接收updateDeviceData:{notifyType=deviceDataChanged, deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, gatewayId=32f53caa-7985-4a0c-b074-3cd242179d53, requestId=null, service={serviceId=PhotoService, serviceType=PhotoService, data={packdate=538448402, packtime=1049634, totalpack=8, packnum=5, rawdata=6YiFiVqe139xwaozkWKK6xBRQAUUwCigAooAKKACigAooAKKACigAooAKKACigAooAKKACigAooAKKACigAooAKKACigAooAKKACigAooAKKACigAooAKKACigAooAKKACigAooAKKACigAoqGAUVhIAorI0QUUFjXbAqEDeaYifpSUgG01jTEM+zb+S1WAMDFbwj1MhaK1trcAoqgEyKMisvaxHysMijIqfbIfIGaWl7YfIFFL2zDkCil7Vj5Aope1kHIFFL2khcoUU+dkWCirUgCitFIAoqwCimAUUAFFTzAFFUAUUAFFABRQAUUAFFABRQAUUAFFABRQAUUAFFA==}, eventTime=20181212T020501Z}}
[2018-12-12 10:05:00.570] INFO [https-jsse-nio-8443-exec-9] PhotoService.java:78 -  packnum : 5  totalpack : 8 deviceId :/32f53caa-7985-4a0c-b074-3cd242179d53  time : 20181212100422
[2018-12-12 10:05:03.172] INFO [https-jsse-nio-8443-exec-6] CallBackController.java:118 - 接收updateDeviceData:{notifyType=deviceDataChanged, deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, gatewayId=32f53caa-7985-4a0c-b074-3cd242179d53, requestId=null, service={serviceId=PhotoService, serviceType=PhotoService, data={packdate=538448402, packtime=1049634, totalpack=8, packnum=6, rawdata=AFFABRQAUUAFFABRQAUUAFFABRQAUUgCispAFFYsAoqDVBSMcUFEHLmpwMCgQhNMzTAYzYqhPec8VSJZbtLrcuGNXAc9K2hLoYhRWxQUUAV80ZrgNxc0ZoAXNLmgB2aXNAC5paQBRQAUUAFFBDCiqMworRMAorRMAoq7gFFS5AFFTFc2oBRWwBRTAKKACigAooAKKACigAooAKKACigAooAKKACigAooAKKACigAooAKKACilcAopgFFSwCisJAFFZDQUVJqITioeXamMlUbRQTQAwmmM2KYjOu7nsKofe5rREj1JHQ1ZhvHTrQZtGjFfI/WrSsG6GrjO2jJForcog==}, eventTime=20181212T020503Z}}
[2018-12-12 10:05:03.174] INFO [https-jsse-nio-8443-exec-6] PhotoService.java:78 -  packnum : 6  totalpack : 8 deviceId :/32f53caa-7985-4a0c-b074-3cd242179d53  time : 20181212100422
[2018-12-12 10:05:05.975] INFO [https-jsse-nio-8443-exec-3] CallBackController.java:118 - 接收updateDeviceData:{notifyType=deviceDataChanged, deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, gatewayId=32f53caa-7985-4a0c-b074-3cd242179d53, requestId=null, service={serviceId=PhotoService, serviceType=PhotoService, data={packdate=538448402, packtime=1049634, totalpack=8, packnum=7, rawdata=pmjNcJuLRmgBc0tIB2aWgBQacDQA6igAooAKKACighhRTMwoq7gFFO4BRUbgFFdcQCiqAKKACigAooAKKACigAooAKKACigAooAKKACigAooAKKACigAooAKKACigAoqGgCisuZxAKKfPcAorNgFFZmiCg8UiyBjvNSqu0VQAaYaAI2bFULu5xwKaEZpJY5pa0JHUtAC5qWO5dO9IlovwaiDw1Xo5VkHymqjLlIKdLWR0C0tIBaWgBc0A0APpc0gFzT6AFooAKKQBRQIKKZmwopkhRQOwUVUNwYUV1iCimAUUAFFABRQAUUAFFABRQAUUAFFABRQAUUAFFABRQAUUA==}, eventTime=20181212T020506Z}}
[2018-12-12 10:05:05.977] INFO [https-jsse-nio-8443-exec-3] PhotoService.java:78 -  packnum : 7  totalpack : 8 deviceId :/32f53caa-7985-4a0c-b074-3cd242179d53  time : 20181212100422
[2018-12-12 10:05:07.900] INFO [https-jsse-nio-8443-exec-10] CallBackController.java:118 - 接收updateDeviceData:{notifyType=deviceDataChanged, deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, gatewayId=32f53caa-7985-4a0c-b074-3cd242179d53, requestId=null, service={serviceId=PhotoService, serviceType=PhotoService, data={packdate=538448402, packtime=1049634, totalpack=8, packnum=8, rawdata=AUUAFFABRQAUUAFFABRWclcAorlasWrMKKQ+UKKCkITioGYucCgZKq7aUmgBhNRs1MCjd3O3istm3mrRItLVALRQIM0ZoATNOWd4zwaQrH//2QAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==}, eventTime=20181212T020508Z}}
[2018-12-12 10:05:07.901] INFO [https-jsse-nio-8443-exec-10] PhotoService.java:78 -  packnum : 8  totalpack : 8 deviceId :/32f53caa-7985-4a0c-b074-3cd242179d53  time : 20181212100422
[2018-12-12 10:05:07.961] INFO [https-jsse-nio-8443-exec-10] FileUtils.java:51 - 上传图片：deviceId : 32f53caa-7985-4a0c-b074-3cd242179d53 ,filePath:c:/IotPhotos/32f53caa-7985-4a0c-b074-3cd242179d53_20181212100422.jpeg
[2018-12-12 10:05:08.749] INFO [https-jsse-nio-8443-exec-4] CallBackController.java:118 - 接收updateDeviceData:{notifyType=deviceDataChanged, deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, gatewayId=32f53caa-7985-4a0c-b074-3cd242179d53, requestId=null, service={serviceId=CheckService, serviceType=CheckService, data={version=1.001.0218112103110000}, eventTime=20181212T020509Z}}
[2018-12-12 10:05:08.750] INFO [https-jsse-nio-8443-exec-4] CheckService.java:58 - 上传check:设备id：32f53caa-7985-4a0c-b074-3cd242179d53 ,内容：{serviceType=CheckService, data={version=1.001.0218112103110000}, eventTime=20181212T020509Z, serviceId=CheckService}
[2018-12-12 10:05:27.806] INFO [https-jsse-nio-8443-exec-4] CallBackController.java:250 - 接收命令响应：{deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, commandId=d2605fcb6ada4acdb9ec5e41526da516, result={resultCode=TIMEOUT, resultDetail=null}}
[2018-12-12 10:05:27.817] INFO [https-jsse-nio-8443-exec-7] CallBackController.java:250 - 接收命令响应：{deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, commandId=fbdcb15755d54e1593e7dc43ec001220, result={resultCode=SENT, resultDetail=null}}
[2018-12-12 10:05:36.115] INFO [https-jsse-nio-8443-exec-8] CallBackController.java:250 - 接收命令响应：{deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, commandId=fbdcb15755d54e1593e7dc43ec001220, result={resultCode=DELIVERED, resultDetail=null}}
[2018-12-12 10:05:36.117] INFO [https-jsse-nio-8443-exec-6] CallBackController.java:250 - 接收命令响应：{deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, commandId=fbdcb15755d54e1593e7dc43ec001220, result={resultCode=SUCCESSFUL, resultDetail={result=0}}}
[2018-12-12 10:05:43.778] INFO [https-jsse-nio-8443-exec-4] CallBackController.java:250 - 接收命令响应：{deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, commandId=840582f9ff094ddcb52f62199b588be5, result={resultCode=DELIVERED, resultDetail=null}}
[2018-12-12 10:05:45.056] INFO [https-jsse-nio-8443-exec-9] CallBackController.java:250 - 接收命令响应：{deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, commandId=840582f9ff094ddcb52f62199b588be5, result={resultCode=SUCCESSFUL, resultDetail={result=1}}}
[2018-12-12 10:05:52.786] INFO [https-jsse-nio-8443-exec-1] CallBackController.java:250 - 接收命令响应：{deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, commandId=55f4061b80044438b2727814f155de48, result={resultCode=DELIVERED, resultDetail=null}}
[2018-12-12 10:05:52.786] INFO [https-jsse-nio-8443-exec-9] CallBackController.java:250 - 接收命令响应：{deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, commandId=55f4061b80044438b2727814f155de48, result={resultCode=SUCCESSFUL, resultDetail={result=2}}}
[2018-12-12 10:06:00.555] INFO [https-jsse-nio-8443-exec-9] CallBackController.java:250 - 接收命令响应：{deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, commandId=ebd4efbd70b34745abbb97555abcf167, result={resultCode=DELIVERED, resultDetail=null}}
[2018-12-12 10:06:00.557] INFO [https-jsse-nio-8443-exec-2] CallBackController.java:250 - 接收命令响应：{deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, commandId=ebd4efbd70b34745abbb97555abcf167, result={resultCode=SUCCESSFUL, resultDetail={result=3}}}
[2018-12-12 10:06:11.013] INFO [https-jsse-nio-8443-exec-2] CallBackController.java:250 - 接收命令响应：{deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, commandId=24e54228b21c4a1f98bca4250d409e09, result={resultCode=SUCCESSFUL, resultDetail={result=4}}}
[2018-12-12 10:06:11.016] INFO [https-jsse-nio-8443-exec-8] CallBackController.java:250 - 接收命令响应：{deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, commandId=24e54228b21c4a1f98bca4250d409e09, result={resultCode=DELIVERED, resultDetail=null}}
[2018-12-12 10:06:20.909] INFO [https-jsse-nio-8443-exec-4] CallBackController.java:250 - 接收命令响应：{deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, commandId=b0ac7c92109f40ce8465f0b2693d968b, result={resultCode=DELIVERED, resultDetail=null}}
[2018-12-12 10:06:23.367] INFO [https-jsse-nio-8443-exec-1] CallBackController.java:250 - 接收命令响应：{deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, commandId=b0ac7c92109f40ce8465f0b2693d968b, result={resultCode=SUCCESSFUL, resultDetail={result=5}}}
[2018-12-12 10:06:33.679] INFO [https-jsse-nio-8443-exec-8] CallBackController.java:250 - 接收命令响应：{deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, commandId=8a7958bd39cd4b2fb8822c39147fed78, result={resultCode=DELIVERED, resultDetail=null}}
[2018-12-12 10:06:35.005] INFO [https-jsse-nio-8443-exec-3] CallBackController.java:250 - 接收命令响应：{deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, commandId=8a7958bd39cd4b2fb8822c39147fed78, result={resultCode=SUCCESSFUL, resultDetail={result=6}}}
[2018-12-12 10:06:44.115] INFO [https-jsse-nio-8443-exec-3] CallBackController.java:250 - 接收命令响应：{deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, commandId=19d8ba364a254ae2a6907226191fbc63, result={resultCode=DELIVERED, resultDetail=null}}
[2018-12-12 10:06:44.145] INFO [https-jsse-nio-8443-exec-7] CallBackController.java:250 - 接收命令响应：{deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, commandId=19d8ba364a254ae2a6907226191fbc63, result={resultCode=SUCCESSFUL, resultDetail={result=7}}}
[2018-12-12 10:06:54.147] INFO [https-jsse-nio-8443-exec-1] CallBackController.java:250 - 接收命令响应：{deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, commandId=b21f9b5bd1e64518bca017b0691eeda6, result={resultCode=DELIVERED, resultDetail=null}}
[2018-12-12 10:06:56.726] INFO [https-jsse-nio-8443-exec-8] CallBackController.java:250 - 接收命令响应：{deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, commandId=b21f9b5bd1e64518bca017b0691eeda6, result={resultCode=SUCCESSFUL, resultDetail={result=8}}}
[2018-12-12 10:07:07.279] INFO [https-jsse-nio-8443-exec-7] CallBackController.java:250 - 接收命令响应：{deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, commandId=156008acc59c476e98bcdb0f95f38a19, result={resultCode=DELIVERED, resultDetail=null}}
[2018-12-12 10:07:07.326] INFO [https-jsse-nio-8443-exec-6] CallBackController.java:250 - 接收命令响应：{deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, commandId=156008acc59c476e98bcdb0f95f38a19, result={resultCode=SUCCESSFUL, resultDetail={result=9}}}
[2018-12-12 10:07:19.600] INFO [https-jsse-nio-8443-exec-9] CallBackController.java:250 - 接收命令响应：{deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, commandId=d03866acb6db448db11fa68b8ab2e5ad, result={resultCode=DELIVERED, resultDetail=null}}
[2018-12-12 10:07:22.450] INFO [https-jsse-nio-8443-exec-1] CallBackController.java:250 - 接收命令响应：{deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, commandId=d03866acb6db448db11fa68b8ab2e5ad, result={resultCode=SUCCESSFUL, resultDetail={result=10}}}
[2018-12-12 10:07:36.341] INFO [https-jsse-nio-8443-exec-1] CallBackController.java:250 - 接收命令响应：{deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, commandId=b88f524a6c4d44218996659aa62b54f8, result={resultCode=DELIVERED, resultDetail=null}}
[2018-12-12 10:07:36.368] INFO [https-jsse-nio-8443-exec-5] CallBackController.java:250 - 接收命令响应：{deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, commandId=b88f524a6c4d44218996659aa62b54f8, result={resultCode=SUCCESSFUL, resultDetail={result=11}}}
[2018-12-12 10:07:50.305] INFO [https-jsse-nio-8443-exec-6] CallBackController.java:250 - 接收命令响应：{deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, commandId=eb2ce5f8e1214cd88d82cea4e502a34c, result={resultCode=DELIVERED, resultDetail=null}}
[2018-12-12 10:07:55.510] INFO [https-jsse-nio-8443-exec-9] CallBackController.java:250 - 接收命令响应：{deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, commandId=eb2ce5f8e1214cd88d82cea4e502a34c, result={resultCode=SUCCESSFUL, resultDetail={result=12}}}
[2018-12-12 10:08:05.862] INFO [https-jsse-nio-8443-exec-9] CallBackController.java:250 - 接收命令响应：{deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, commandId=53fb05849c484e9ca0f2265115a362c7, result={resultCode=DELIVERED, resultDetail=null}}
[2018-12-12 10:08:05.881] INFO [https-jsse-nio-8443-exec-8] CallBackController.java:250 - 接收命令响应：{deviceId=32f53caa-7985-4a0c-b074-3cd242179d53, commandId=53fb05849c484e9ca0f2265115a362c7, result={resultCode=SUCCESSFUL, resultDetail={result=13}}}
